Date,Open,High,Low,Close,Adj Close,Volume
2008-11-27,null,null,null,null,null,null
2009-04-30,null,null,null,null,null,null
2009-10-13,null,null,null,null,null,null
2009-12-23,null,null,null,null,null,null
2009-12-24,null,null,null,null,null,null
2009-12-29,null,null,null,null,null,null
2009-12-30,null,null,null,null,null,null
2009-12-31,null,null,null,null,null,null
2010-02-06,null,null,null,null,null,null
2011-05-31,null,null,null,null,null,null
2011-11-24,null,null,null,null,null,null
2011-12-26,null,null,null,null,null,null
2012-01-02,null,null,null,null,null,null
2012-01-07,null,null,null,null,null,null
2012-03-03,null,null,null,null,null,null
2012-05-21,null,null,null,null,null,null
2012-08-28,null,null,null,null,null,null
2012-09-08,null,null,null,null,null,null
2012-11-11,null,null,null,null,null,null
2013-01-01,null,null,null,null,null,null
2013-01-21,6085.75,6094.350098,6065.100098,6082.299805,6082.299805,130900
2013-01-22,6080.149902,6101.299805,6040.5,6048.5,6048.5,129000
2013-01-23,6052.850098,6069.799805,6021.149902,6054.299805,6054.299805,137000
2013-01-24,6046.200195,6065.299805,6007.850098,6019.350098,6019.350098,185200
2013-01-25,6024.5,6080.549805,6014.450195,6074.649902,6074.649902,147600
2013-01-28,6082.100098,6088.399902,6061.399902,6074.799805,6074.799805,113100
2013-01-29,6064.700195,6111.799805,6042.450195,6049.899902,6049.899902,157600
2013-01-30,6065,6071.950195,6044.149902,6055.75,6055.75,124200
2013-01-31,6045.649902,6058.049805,6025.149902,6034.75,6034.75,168500
2013-02-01,6040.950195,6052.950195,5983.200195,5998.899902,5998.899902,159300
2013-02-04,6025.200195,6038.5,5981.25,5987.25,5987.25,141700
2013-02-05,5948.200195,5970.350098,5946.899902,5956.899902,5956.899902,136200
2013-02-06,5988.049805,5990.899902,5953.149902,5959.200195,5959.200195,157800
2013-02-07,5936.450195,5978.5,5927.600098,5938.799805,5938.799805,157600
2013-02-08,5929.100098,5953.700195,5883.649902,5903.5,5903.5,192600
2013-02-11,5920.049805,5924.149902,5879.100098,5897.850098,5897.850098,122000
2013-02-12,5894.350098,5927.649902,5886.450195,5922.5,5922.5,142800
2013-02-13,5943.149902,5969.5,5922.950195,5932.950195,5932.950195,142600
2013-02-14,5933.200195,5940.200195,5884.549805,5896.950195,5896.950195,143800
2013-02-15,5869.950195,5899.950195,5853.899902,5887.399902,5887.399902,125100
2013-02-18,5888.649902,5911,5878.450195,5898.200195,5898.200195,114300
2013-02-19,5900.200195,5947.549805,5883.149902,5939.700195,5939.700195,101000
2013-02-20,5966.299805,5971,5937.549805,5943.049805,5943.049805,135400
2013-02-21,5909.649902,5921.149902,5844.399902,5852.25,5852.25,159400
2013-02-22,5837.950195,5873.799805,5835.799805,5850.299805,5850.299805,157000
2013-02-25,5870.549805,5878.399902,5825,5854.75,5854.75,125100
2013-02-26,5838.299805,5838.850098,5748.600098,5761.350098,5761.350098,157400
2013-02-27,5784.899902,5818.200195,5749.700195,5796.899902,5796.899902,175200
2013-02-28,5834.350098,5849.899902,5671.899902,5693.049805,5693.049805,334900
2013-03-01,5702.450195,5739.450195,5679.899902,5719.700195,5719.700195,174500
2013-03-04,5704.700195,5712,5663.600098,5698.5,5698.5,144900
2013-03-05,5722.450195,5790.100098,5722.399902,5784.25,5784.25,154400
2013-03-06,5816.399902,5828.700195,5795.049805,5818.600098,5818.600098,156900
2013-03-07,5801.299805,5878,5801.299805,5863.299805,5863.299805,134700
2013-03-08,5883.649902,5952.850098,5883,5945.700195,5945.700195,150800
2013-03-11,5946.100098,5971.200195,5930.350098,5942.350098,5942.350098,125400
2013-03-12,5944.600098,5952,5893.649902,5914.100098,5914.100098,115900
2013-03-13,5884.799805,5893.850098,5842.25,5851.200195,5851.200195,116700
2013-03-14,5845.950195,5920.149902,5791.75,5908.950195,5908.950195,149000
2013-03-15,5914.899902,5945.649902,5861,5872.600098,5872.600098,152200
